track_id,track_name,measure_count,sounding_event_count,note_count,chord_event_count,root_bass_note_count,duration_histogram,onset_histogram,rests,measures_repeated_attacks,measures_one_sustained_chord,split_measure_activity,syncopated_events,tie_count,unique_voicing_count,maximum_silent_span,percent_measures_active,sha256,file,modified_time,selection
1,Rhythm / Backing Chords,33,35,169,0,29,"{""16.0"": 6, ""32.0"": 29}","{""24"": 3, ""8"": 32}",0,3,29,3,0,0,5,not-derived,96.97,511edd0c62ed342fa56f41b849f2a8e46bca590ddf1b48c62bf45b95d2b19123,reviews\setlist\sarafina\canonical\sarafina.tg,2026-08-01T06:32:45.087262,candidate
1,Rhythm / Backing Chords,33,35,169,0,29,"{""16.0"": 6, ""32.0"": 29}","{""24"": 3, ""8"": 32}",0,3,29,3,0,0,5,not-derived,96.97,c37433a37d4327bb2f62c9017d12312e24df96dd3aee96a2feff8ec904c5f91d,reviews\setlist\sarafina\phrase_review\sarafina-Phrase-Review.tg,2026-08-01T06:44:12.751181,candidate
1,Rhythm / Backing Chords,9,113,406,0,57,"{""2.0"": 98, ""4.0"": 15}","{""0"": 8, ""10"": 1, ""12"": 8, ""14"": 8, ""16"": 8, ""18"": 8, ""2"": 7, ""20"": 8, ""22"": 8, ""24"": 8, ""26"": 1, ""28"": 8, ""30"": 8, ""4"": 8, ""6"": 8, ""8"": 8}",1,8,0,8,81,8,20,not-derived,88.89,6e7af8e6dd48cda91a198247c7ac18346ca15a5828a48f84babe97a7f09bff64,reviews\setlist\sitting_on_top_of_the_world\canonical\sitting-on-top-of-the-world.tg,2026-08-01T06:32:45.725814,candidate
1,Rhythm / Backing Chords,9,113,406,0,57,"{""2.0"": 98, ""4.0"": 15}","{""0"": 8, ""10"": 1, ""12"": 8, ""14"": 8, ""16"": 8, ""18"": 8, ""2"": 7, ""20"": 8, ""22"": 8, ""24"": 8, ""26"": 1, ""28"": 8, ""30"": 8, ""4"": 8, ""6"": 8, ""8"": 8}",1,8,0,8,81,8,20,not-derived,88.89,7a897bdb55d9cc49a4d8ef8ce7174dfdca9adc5ca49c7fedcc6108e958670677,reviews\setlist\sitting_on_top_of_the_world\phrase_review\sitting-on-top-of-the-world-Phrase-Review.tg,2026-08-01T06:44:12.941295,candidate
1,Rhythm / Backing Chords,19,108,396,0,39,"{""2.0"": 72, ""4.0"": 36}","{""0"": 9, ""12"": 9, ""14"": 9, ""16"": 9, ""20"": 9, ""22"": 9, ""24"": 9, ""28"": 9, ""30"": 9, ""4"": 9, ""6"": 9, ""8"": 9}",45,9,0,9,72,0,8,not-derived,47.37,65d6ee71dddea9477c378e43f9d481b9a3a7e0501436571cd15edb22fd426f74,reviews\setlist\somehow_tonight\bh_5432_review\somehow-tonight-BH5432-Review.tg,2026-08-01T06:32:47.210720,candidate
1,Rhythm / Backing Chords,17,16,77,0,13,"{""32.0"": 16}","{""8"": 16}",0,0,16,0,0,0,2,not-derived,94.12,bc38e28126e8d622c37475c39867782fd71d81e2e7bd7aec6a7b7451adbcb7eb,reviews\setlist\somehow_tonight\canonical\somehow-tonight.tg,2026-08-01T06:32:47.732910,candidate
1,Rhythm / Backing Chords,17,16,77,0,13,"{""32.0"": 16}","{""8"": 16}",0,0,16,0,0,0,2,not-derived,94.12,a264a29d78167e34a57defb75aac575a7eb42b3736da9bcaf771a276de630f93,reviews\setlist\somehow_tonight\phrase_review\somehow-tonight-Phrase-Review.tg,2026-08-01T06:44:12.826948,candidate
1,Rhythm / Backing Chords,25,288,1139,0,100,"{""2.0"": 192, ""4.0"": 96}","{""0"": 24, ""12"": 24, ""14"": 24, ""16"": 24, ""20"": 24, ""22"": 24, ""24"": 24, ""28"": 24, ""30"": 24, ""4"": 24, ""6"": 24, ""8"": 24}",1,24,0,24,192,0,14,not-derived,96.0,e34997a1651a29c7f18bbf77bc343a2bd9d62e4e708cd5c614e08f0016463d9e,reviews\setlist\southern_flavor\canonical\southern-flavor.tg,2026-08-01T06:32:49.310157,candidate
1,Rhythm / Backing Chords,25,288,1139,0,100,"{""2.0"": 192, ""4.0"": 96}","{""0"": 24, ""12"": 24, ""14"": 24, ""16"": 24, ""20"": 24, ""22"": 24, ""24"": 24, ""28"": 24, ""30"": 24, ""4"": 24, ""6"": 24, ""8"": 24}",1,24,0,24,192,0,14,not-derived,96.0,ccb49c025e149ff7f98a905840b68c599b69db1c2355c3c92cc3c864d3967007,reviews\setlist\southern_flavor\phrase_review\southern-flavor-Phrase-Review.tg,2026-08-01T06:44:12.966928,candidate
1,Rhythm / Backing Chords,27,296,1138,0,178,"{""2.0"": 176, ""4.0"": 120}","{""0"": 26, ""12"": 26, ""14"": 22, ""16"": 26, ""20"": 26, ""22"": 22, ""24"": 26, ""28"": 26, ""30"": 22, ""4"": 26, ""6"": 22, ""8"": 26}",1,26,0,26,192,0,14,not-derived,96.3,17b35b817fa00fbe986a6a04067aef49a079a4eae21b978aeb8e7c1003d63fc8,reviews\setlist\trail_of_tears\canonical\trail-of-tears.tg,2026-08-01T06:32:49.826662,candidate
1,Rhythm / Backing Chords,27,296,1138,0,178,"{""2.0"": 176, ""4.0"": 120}","{""0"": 26, ""12"": 26, ""14"": 22, ""16"": 26, ""20"": 26, ""22"": 22, ""24"": 26, ""28"": 26, ""30"": 22, ""4"": 26, ""6"": 22, ""8"": 26}",1,26,0,26,192,0,14,not-derived,96.3,81208ac67961fffcb234af8b7ae5a1788e164f6f27bc5ef433b48a3226d0a29e,reviews\setlist\trail_of_tears\phrase_review\trail-of-tears-Phrase-Review.tg,2026-08-01T12:06:28.080692,candidate
1,Canonical Rhythm,49,321,1293,216,276,"{""4.0"": 261, ""8.0"": 60}","{""0"": 39, ""16"": 48, ""20"": 48, ""24"": 45, ""28"": 48, ""4"": 45, ""8"": 48}",4,48,0,48,141,0,13,not-derived,97.96,ad4d49a648690d3026aba8568c6ddaf0b68191181c49fad188c38ae50143e1b6,reviews\setlist\walls_of_time\bh_5432_review\walls-of-time-BH5432-Review.tg,2026-08-01T12:37:57.101686,candidate
1,Canonical Rhythm,49,321,1293,216,276,"{""4.0"": 261, ""8.0"": 60}","{""0"": 39, ""16"": 48, ""20"": 48, ""24"": 45, ""28"": 48, ""4"": 45, ""8"": 48}",4,48,0,48,141,0,13,not-derived,97.96,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,reviews\setlist\walls_of_time\canonical\walls-of-time.tg,2026-08-01T12:37:57.065155,candidate
1,Canonical Rhythm,49,321,1293,216,276,"{""4.0"": 261, ""8.0"": 60}","{""0"": 39, ""16"": 48, ""20"": 48, ""24"": 45, ""28"": 48, ""4"": 45, ""8"": 48}",4,48,0,48,141,0,13,not-derived,97.96,834942a3127f0ad7adfbab8080860cd0d8a499376e1df5d81a79f749b60419cd,reviews\setlist\walls_of_time\phrase_review\walls-of-time-Phrase-Review.tg,2026-08-01T12:37:57.133360,candidate
1,Rhythm / Backing Chords,17,190,710,0,104,"{""2.0"": 130, ""4.0"": 60}","{""0"": 16, ""12"": 16, ""14"": 16, ""16"": 16, ""20"": 16, ""22"": 16, ""24"": 16, ""26"": 2, ""28"": 16, ""30"": 16, ""4"": 14, ""6"": 14, ""8"": 16}",7,16,0,16,126,0,16,not-derived,94.12,85f104730d752c610c1c7c1d791298af53728cda3215621c3f220820e2dc22fa,reviews\setlist\walls_of_time\repair_snapshot_before_source_authority\walls-of-time-BH5432-Review.tg,2026-08-01T08:04:22.609832,candidate
1,Rhythm / Backing Chords,17,16,78,0,14,"{""32.0"": 16}","{""8"": 16}",0,0,16,0,0,0,4,not-derived,94.12,8bdd9f16c607e0713d07550582c9dcb19cfcb0dfee14d2b07a21d2b945553bfa,reviews\setlist\walls_of_time\repair_snapshot_before_source_authority\walls-of-time-Phrase-Review.tg,2026-08-01T06:44:12.684053,candidate
1,Rhythm / Backing Chords,17,16,78,0,14,"{""32.0"": 16}","{""8"": 16}",0,0,16,0,0,0,4,not-derived,94.12,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,reviews\setlist\walls_of_time\repair_snapshot_before_source_authority\walls-of-time.tg,2026-08-01T06:32:51.949804,candidate
1,Track 1,49,321,1293,216,276,"{""4.0"": 261, ""8.0"": 60}","{""0"": 39, ""16"": 48, ""20"": 48, ""24"": 45, ""28"": 48, ""4"": 45, ""8"": 48}",4,48,0,48,141,0,13,not-derived,97.96,49309abaf32b5dc91ed9ce243cb0dd9136da53168b507146382957a43ea00a52,reviews\setlist\walls_of_time\source_working_copy\walls-of-time-source.tg,2026-07-17T19:41:31.084016,authority
