file,track_role,measure,chord_symbol,allowed_pitch_classes,actual_pitch_classes,illegal_pitch_classes,status
output\etude_corpus\form_navigation\e12a_hotel_california_a.tg,bass,9,Em,E G B,E B,,PASS
output\etude_corpus\form_navigation\e12a_hotel_california_a.tg,bass,10,F#,C#/Db F#/Gb A#/Bb,C#/Db F#/Gb,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,3,Bm,D F#/Gb B,F#/Gb B,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,4,F#,C#/Db F#/Gb A#/Bb,C#/Db F#/Gb,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,5,A,C#/Db E A,E A,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,6,E,E G#/Ab B,E B,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,7,G,D G B,D G,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,8,D,D F#/Gb A,D A,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,9,Em,E G B,E B,,PASS
output\etude_corpus\form_navigation\e12b_hotel_california_b.tg,bass,10,F#,C#/Db F#/Gb A#/Bb,C#/Db F#/Gb,,PASS
output\etude_corpus\form_navigation\e12c_hotel_california_c.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e12c_hotel_california_c.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e12c_hotel_california_c.tg,bass,3,Bm,D F#/Gb B,F#/Gb B,,PASS
output\etude_corpus\form_navigation\e12c_hotel_california_c.tg,bass,4,F#,C#/Db F#/Gb A#/Bb,C#/Db F#/Gb,,PASS
